news_id,ticker,forecast_time,news_time,news_text,label,next_day_return,price_5d_return,volume_change
1,AAPL,2025-03-12 09:00,2025-03-11 08:00,Apple reports stronger than expected iPhone demand in India,UP,-0.0308,0.0107,-0.1564
2,GOOGL,2025-03-12 09:00,2025-03-12 10:30,Google faces a new antitrust complaint over search distribution deals,DOWN,-0.0002,-0.0187,0.0824
3,AMZN,2025-03-12 09:00,2025-03-12 09:00,Amazon keeps full year guidance unchanged after a mixed retail update,HOLD,0.0428,-0.0262,0.2824
4,META,2025-03-12 09:00,2025-03-10 14:20,Meta announces faster growth in Reels advertising engagement,UP,-0.0224,0.0159,0.1069
5,AAPL,2025-03-13 09:00,2025-03-13 11:15,Apple supplier warns of softer iPhone component orders for next quarter,DOWN,-0.0433,-0.014,-0.2978
6,GOOGL,2025-03-13 09:00,2025-03-12 16:45,Google Cloud signs a large AI infrastructure contract with a bank,UP,0.0029,-0.026,0.0016
7,AMZN,2025-03-13 09:00,2025-03-12 07:50,Amazon Web Services launches new cost efficient AI chips for customers,UP,-0.045,0.0124,0.0337
8,META,2025-03-13 09:00,2025-03-13 09:00,Meta says ad pricing is stable while spending trends remain normal,HOLD,0.0374,0.0117,0.2577
9,AAPL,2025-03-14 09:00,2025-03-13 13:30,Apple receives approval to expand its services payment platform in Europe,UP,0.0384,0.0357,0.293
10,GOOGL,2025-03-14 09:00,2025-03-14 15:00,Google reports slower YouTube ad growth in a preliminary industry survey,DOWN,0.0139,0.0103,-0.1554
11,AMZN,2025-03-14 09:00,2025-03-13 18:10,Amazon warehouse workers in two states vote to authorize a strike,DOWN,0.0172,0.0352,-0.012
12,META,2025-03-14 09:00,2025-03-13 09:30,Meta opens a new data center but keeps capital expenditure outlook unchanged,HOLD,0.0112,-0.022,-0.2901
13,AAPL,2025-03-17 09:00,2025-03-17 09:00,Apple unveils a minor software update with no revenue impact expected,HOLD,-0.0307,0.0054,0.1406
14,GOOGL,2025-03-17 09:00,2025-03-15 12:00,Google expands Gemini features for enterprise productivity customers,UP,0.0351,-0.032,0.14
15,AMZN,2025-03-17 09:00,2025-03-17 11:45,Amazon warns that international shipping costs rose faster than expected,DOWN,0.0049,0.02,0.1484
16,META,2025-03-17 09:00,2025-03-16 20:10,Meta resolves a European privacy case with a smaller than feared penalty,UP,-0.0194,0.0106,-0.2089
17,AAPL,2025-03-18 09:00,2025-03-17 10:05,Apple delays production of a new headset model due to weak demand,DOWN,-0.0446,0.0322,-0.1772
18,GOOGL,2025-03-18 09:00,2025-03-18 09:00,Google schedules its developer conference without changing financial targets,HOLD,-0.0192,-0.0197,0.1877
19,AMZN,2025-03-18 09:00,2025-03-17 06:40,Amazon Prime signups accelerate during a seasonal shopping campaign,UP,0.006,0.0086,0.2643
20,META,2025-03-18 09:00,2025-03-18 13:20,Meta lowers revenue guidance after softer advertising demand in Europe,DOWN,0.0172,0.0176,-0.0172
21,AAPL,2025-03-19 09:00,2025-03-18 19:30,Apple services revenue reaches a record level in an internal briefing,UP,0.0122,0.015,0.022
22,GOOGL,2025-03-19 09:00,2025-03-18 08:25,Google loses a small cloud customer but says backlog remains steady,HOLD,0.0297,0.036,0.047
23,AMZN,2025-03-19 09:00,2025-03-19 09:00,Amazon announces a neutral update to delivery fees for marketplace sellers,HOLD,-0.0369,0.0308,0.1238
24,META,2025-03-19 09:00,2025-03-18 07:55,Meta reports stronger advertiser retention among small businesses,UP,0.0424,-0.0393,-0.1192
25,AAPL,2025-03-20 09:00,2025-03-20 14:10,Apple faces a fresh lawsuit over App Store payment restrictions,DOWN,-0.0176,0.0096,-0.2949
26,GOOGL,2025-03-20 09:00,2025-03-19 21:00,Google search ad auctions show better conversion rates for retailers,UP,-0.0191,-0.0389,-0.0093
27,AMZN,2025-03-20 09:00,2025-03-19 15:40,Amazon pauses a grocery expansion plan to review store profitability,DOWN,-0.0292,0.0061,0.219
28,META,2025-03-20 09:00,2025-03-20 09:00,Meta rolls out an interface redesign that analysts expect to be neutral,HOLD,0.0177,0.0339,0.1577
29,AAPL,2025-03-21 09:00,2025-03-20 06:15,Apple increases iPad production after education orders improve,UP,-0.0456,0.0335,-0.2403
30,GOOGL,2025-03-21 09:00,2025-03-21 10:20,Google is fined by a regulator for data retention practices,DOWN,0.0251,0.0397,0.0312
31,AMZN,2025-03-21 09:00,2025-03-20 11:35,Amazon reports faster AWS migration demand from healthcare clients,UP,0.0086,0.0226,-0.1369
32,META,2025-03-21 09:00,2025-03-20 18:50,Meta pauses hiring in one AI hardware unit to control costs,HOLD,-0.0044,0.0323,-0.0394
33,AAPL,2025-03-24 09:00,2025-03-24 09:00,Apple confirms a routine supplier audit with no material findings,HOLD,-0.0129,0.036,-0.18
34,GOOGL,2025-03-24 09:00,2025-03-23 08:45,Google announces a cloud margin improvement program,UP,-0.0387,-0.0295,0.0584
35,AMZN,2025-03-24 09:00,2025-03-24 12:30,Amazon faces an FTC probe into marketplace seller ranking practices,DOWN,-0.0169,-0.0225,-0.2881
